Spanish,English
pueblo,people
el tiempo,time
el año,year
la cosa,thing
el camino,way
el día,day
el hombre,man
el estado,state
el lote,lot
la mujer,woman
el país,country
la vida,life
la cuestión,question
el presidente,president
el niño,child
la semana,week
el mundo,world
el tipo,kind
el caso,case
el problema,problem
el hecho,fact
la familia,family
la historia,story
el punto,point
el gobierno,government
el dinero,money
la cuestión,issue
la parte,part
la mañana,morning
el chico,guy
el número,number
el trabajo,job
la noche,night
el derecho,right
la escuela,school
el lugar,place
la guerra,war
el niño,kid
el mes,month
el libro,book
la hora,hour
el show,show
la policía,police
el programa,program
el partido,party
la ley,law
la palabra,word
la persona,person
el hogar,home
el negocio,business
el amigo,friend
la empresa,company
el lado,side
el impuesto,tax
el demócrata,democrat
el grupo,group
el momento,moment
la ruptura,break
la idea,idea
el miembro,member
el sistema de,system
el minuto,minute
la razón,reason
la campaña,campaign
la obra,work
la nación,nation
el congreso,congress
la madre,mother
la fuerza,force
la salud,health
la parte de atrás,back
la zona,area
el nombre,name
el informe,report
la mano,hand
la línea,line
el fin,end
la corte,court
el cuidado,care
la pareja,couple
la casa,house
la americana,american
el padre,father
el coche,car
el padre,parent
la administración,administration
la droga,drug
la ciudad,city
el sentido,sense
la política,policy
la oficina,office
la decisión,decision
el poder,power
el plan,plan
el líder,leader
la información,information
la elección,election
la película,movie
la muerte,death
el aire,air
la llamada,call
la comunidad,community
la mirada,look
la evidencia,evidence
la chica,girl
el médico,doctor
el voto,vote
el video,video
la imagen,picture
la habitación,room
la economía,economy
el teléfono,phone
la historia,history
el tipo,sort
el niño,boy
el crimen,crime
el proceso de,process
la esposa,wife
la música,music
el agua,water
el servicio,service
el registro,record
la seguridad,security
la charla,talk
la mente,mind
la cabeza,head
el candidato,candidate
el funcionario,official
la cámara,camera
el estudiante,student
el ataque,attack
la oportunidad,chance
el juego,game
el bebé,baby
el sur,south
cambio,change
el juicio,trial
el mercado,market
las cosas,stuff
el interés,interest
el arma,weapon
el corazón,heart
el hijo,son
el equipo,team
la ciudad,town
la televisión,television
la voluntad,will
la tropa,troop
el juez,judge
la acción,action
la respuesta,answer
la posición,position
la vista,view
la diferencia,difference
la comida,food
la hija,daughter
la carrera,race
el acuerdo,deal
la calle,street
el precio,price
el mensaje,message
el control,control
el debate,debate
el oficial,officer
la película,film
el nivel,level
el esfuerzo,effort
la relación,relationship
el corresponsal,correspondent
el terreno,ground
la pieza,piece
el marido,husband
el presupuesto,budget
el jurado,jury
el reportero,reporter
el fin de semana,weekend
la materia,matter
la edad,age
la pistola,gun
la paz,peace
el asesinato,murder
el papel,role
la investigación,investigation
la experiencia,experience
el hospital,hospital
el ojo,eye
el director,director
el futuro,future
la cara,face
el aceite,oil
el resultado,result
el público,public
el abogado,lawyer
la encuesta,poll
la segunda,second
la oportunidad,opportunity
la industria,industry
el hermano,brother
la declaración,statement
el fuego,fire
el amor,love
la tasa,rate
el efecto,effect
la canción,song
el evento,event
la carga,charge
el apoyo,support
la radio,radio
el edificio,building
el banco,bank
la víctima,victim
la puerta,door
la entrevista,interview
la escena,scene
el resto,rest
la prensa,press
la atención,attention
la elección,choice
el discurso,speech
el paciente,patient
la verdad,truth
la carretera,road
el término,term
el sitio,site
el trabajador,worker
el profesor,professor
la letra,letter
la reforma,reform
la preocupación,concern
la gente,folk
el sexo,sex
el estudio,study
la universidad,college
el votante,voter
la pared,wall
la noche,evening
la reunión,meeting
la voz,voice
la audiencia,audience
la violencia,violence
la regla,rule
la estrella,star
la prueba,test
la educación,education
el problema,trouble
el riesgo,risk
la prisión,prison
el invitado,guest
la clase,class
la sociedad,society
el soldado,soldier
el plano,plane
la cantidad,amount
el costo,cost
la autoridad,authority
el pie,foot
el período,period
la sensación,feeling
la etapa de,step
causa,cause
la cinta,tape
la amenaza,threat
la organización,organization
el tipo de,type
la conversación,conversation
la enfermedad,disease
la operación,operation
el cáncer,cancer
la revista,magazine
el gobernador,governor
la presión,pressure
la mayoría,majority
La investigación,research
el carácter,character
la estación,station
la crisis,crisis
el experto,expert
la sangre,blood
el presidente,chairman
el argumento,argument
la lista,list
el perro,dog
el ordenador,computer
el principio,beginning
el seguro,insurance
el campo,field
el error,mistake
el jugador,player
la energía,energy
el documento,paper
el espacio,space
la tienda,store
el acuerdo,agreement
la responsabilidad,responsibility
la dama,lady
el orden,order
el verano,summer
el producto,product
la acción,stock
la inteligencia,intelligence
el profesor,teacher
la agencia,agency
el comercio,trade
la conferencia,conference
la célula,cell
la iglesia,church
el comentario,comment
la fuente,source
el pasado,past
el corte,cut
el pensamiento,thought
el crédito,credit
la esperanza,hope
el signo,sign
la carrera,career
el matrimonio,marriage
la condición,condition
el testigo,witness
la tecnología,technology
la etapa de,stage
el personal,staff
el brazo,arm
la misión,mission
el arte,art
el actor,actor
la batalla,battle
la parte superior,top
el ciudadano,citizen
el autor,author
la reacción,reaction
el caballero,gentleman
el liderazgo,leadership
el miedo,fear
el ejemplo,example
el idioma,language
la necesidad,need
la justicia,justice
la discusión,discussion
la frontera,border
el animal,animal
el detalle,detail
la respuesta,response
la red,network
el movimiento,movement
el uso,use
el macho,male
la capital,capital
la audiencia,hearing
la norma,standard
el beneficio,benefit
la tabla,table
el tratamiento,treatment
el agente,agent
la tarjeta,card
el disparo,shot
el tablero,board
la realidad,reality
el señor,sir
la tierra,land
el proyecto,project
la luz,light
la imagen,image
el siglo,century
la página,page
el éxito,success
el sonido,sound
el impacto,impact
el dolor,pain
la temporada,season
el individuo,individual
el deporte,sport
el estudio,studio
la década,decade
el desafío,challenge
el sueño,dream
el periódico,newspaper
el piso,floor
la lucha,fight
la seguridad,safety
el viaje,trip
el curso,course
la posibilidad,possibility
la libertad,freedom
el fondo,fund
el asiento,seat
la bomba,bomb
la forma,form
el ejecutivo,executive
el ministro,minister
el déficit,deficit
el desarrollo,development
el vuelo,flight
el comité,committee
la roca,rock
la figura,figure
la cultura,culture
el cabello,hair
la cobertura,coverage
la pérdida,loss
el papá,dad
la nota,note
la actividad,activity
el objetivo,goal
la opción,option
el gas,gas
la región,region
la población,population
la capacidad,ability
la resolución,resolution
el empleado,employee
el cerebro,brain
el político,politician
el centro,middle
la tormenta,storm
la generación,generation
el crítico,critic
el ventilador,fan
el científico,scientist
el objetivo,target
el campamento,camp
la tarde,afternoon
la dirección,direction
la ciencia,science
el periodista,journalist
el grado,degree
el asunto,affair
el daño,damage
la estrategia,strategy
el factor,factor
la planta,plant
la democracia,democracy
la duda,doubt
la solución,solution
el gasto,spending
la formación,training
el abuso,abuse
el peligro,danger
el medio ambiente,environment
la memoria,memory
la naturaleza,nature
el material,material
el documento,document
los ingresos,income
el analista,analyst
el juego,play
la guardia,guard
el hotel,hotel
el editor,editor
el misil,missile
el accidente,accident
el propósito,purpose
el escritor,writer
la emergencia,emergency
el crecimiento,growth
la cama,bed
el bienestar,welfare
el adulto,adult
la fe,faith
la propuesta,proposal
el modelo,model
el ejército,army
el incidente,incident
la caja,box
la multitud,crowd
el respeto,respect
el departamento,department
el acceso,access
la fecha,date
el jefe,chief
el clima,weather
el aeropuerto,airport
la máquina,machine
la ventana,window
el orden del día,agenda
el consejo,advice
la fiscalía,prosecution
el conflicto,conflict
la caída,fall
el piloto,pilot
la práctica,practice
la pista,track
el propietario,owner
el aumento,increase
la legislación,legislation
el árbol,tree
la deuda,debt
el enemigo,enemy
el camión,truck
el plomo,lead
la convención,convention
la ayuda,aid
el suicidio,suicide
la calidad,quality
la conservadora,conservative
el tamaño,size
la cuenta,account
el placer,pleasure
la institución,institution
la línea aérea,airline
el peso,weight
el enfoque,approach
la cirugía,surgery
el inicio,start
el distrito,district
la relación,relation
la búsqueda,search
la tripulación,crew
el panel,panel
la coalición,coalition
el movimiento,move
el paquete,package
el cheque,check
la minoría,minority
la unidad,unit
la bolsa,bag
la sorpresa,surprise
el foco,focus
la circunstancia,circumstance
el productor,producer
la inversión,investment
el colega,colleague
el recurso,resource
la sentencia,judgment
el fondo,background
la unión,union
la dirección,address
el controlador,driver
el héroe,hero
el medicamento,medicine
el representante,representative
el vehículo,vehicle
el comandante,commander
el artista,artist
el alcalde,mayor
el barco,ship
la teoría,theory
la pantalla,screen
la lección,lesson
el residente,resident
el socio,partner
el bar,bar
el billete,ticket
el desastre,disaster
el desempeño,performance
aficionados,supporter
el asesino,killer
la negociación,negotiation
el mar,sea
el viento,wind
el zapato,shoe
el secreto,secret
la tragedia,tragedy
el regalo,gift
la gira,tour
el gestor,manager
la banda,band
el nacimiento,birth
el anfitrión,host
el préstamo,loan
la alegación,allegation
el ganador,winner
la religión,religion
el artículo,article
la sesión,session
el ser,being
la medida,extent
el contrato,contract
la sentencia,sentence
la medida,measure
el diputado,deputy
la confianza,confidence
el infierno,hell
el alivio,relief
la perspectiva,perspective
La ventaja,advantage
el escándalo,scandal
la pierna,leg
el restaurante,restaurant
la cena,dinner
el cliente,client
el fracaso,failure
el trimestre,quarter
el elemento,element
la reclamación,claim
la propiedad,property
la versión,version
el intento,attempt
el autobús,bus
el cliente,customer
la apelación,appeal
la libra,pound
la protección,protection
el gen,gene
la piedra,stone
la oposición,opposition
el apartamento,apartment
el frente,front
la hembra,female
el prisionero,prisoner
el negro,black
la pandilla,gang
el principio,principle
el aliado,ally
el asesor,adviser
la visita,visit
el pájaro,bird
el soporte,stand
la comunicación,communication
el barco,boat
la conexión,connection
la tecla,key
la huelga,strike
la pena,penalty
la advertencia,warning
la suerte,luck
el ADN,dna
el espíritu,spirit
la vuelta,turn
la instalación,facility
el adolescente,teenager
el compromiso,commitment
el elemento,item
el procedimiento de,procedure
la media,half
el tanque,tank
el teléfono,telephone
el suministro,supply
la actitud,attitude
el bloque,block
el vínculo,bond
el estilo,style
el fútbol,football
el combustible,fuel
los datos,data
el cristal,glass
el traje,suit
la fuerza,strength
las críticas,criticism
el hielo,ice
la promesa,promise
el regreso,return
el álbum,album
la producción,production
la esquina,corner
la consecuencia,consequence
los vivos,living
la lesión,injury
la tapa,cover
el punto,spot
la mama,breast
la primavera,spring
la controversia,controversy
la destrucción,destruction
el aspecto,aspect
el club,club
la aeronave,aircraft
la empresa,firm
el régimen,regime
la competencia,competition
el beneficio,profit
el portavoz,spokesman
la revisión,review
la comprensión,understanding
la recesión,recession
el cantante,singer
el pueblo,village
la detención,arrest
la nieve,snow
la broma,joke
el oro,gold
el contacto,contact
la demanda,demand
la tarea,task
el agujero,hole
general,general
la piel,skin
el recuento,count
el oponente,opponent
la conclusión,conclusion
la prioridad,priority
la violación,rape
el refugiado,refugee
la montaña,mountain
la cumbre,summit
la parte inferior,bottom
la gestión,management
la comisión,commission
la gama,range
el código,code
el dinero en efectivo,cash
la boca,mouth
la presencia,presence
la cuota,share
la moda,fashion
la forma,shape
la silla,chair
el dedo,finger
el pescado,fish
la edición,edition
el borde,edge
el límite,limit
el tren,train
la creencia,belief
el balance,balance
el intercambio,exchange
la granja,farm
la zona,zone
el pasajero,passenger
la mentira,lie
el deber,duty
el tráfico,traffic
el caballo,horse
la tradición,tradition
la recuperación,recovery
el inspector,inspector
la dificultad,difficulty
el archivo,file
el cumpleaños,birthday
la financiación,finance
el accidente,crash
la influencia,influence
la regulación,regulation
el análisis,analysis
el calor,heat
el vestido,dress
la liberación,release
el invierno,winter
el virus,virus
el tema,theme
la noción,notion
el dispositivo,device
la ira,anger
el Inglés,english
la bandera,flag
el contexto,context
el ala,wing
los combates,fighting
el patrón,pattern
el entretenimiento,entertainment
la aparición,appearance
el ahorro,saving
el inversor,investor
el asentamiento,settlement
la lluvia,rain
la madera,wood
el correo,mail
el agricultor,farmer
el misterio,mystery
la oración,prayer
la visión,vision
la explosión,explosion
el acusado,defendant
la estructura,structure
la enmienda,amendment
el asalto,assault
el pensamiento,thinking
la terapia,therapy
la enfermera,nurse
el camino,path
la financiación,funding
la herramienta,tool
el título,title
la carcasa,housing
la tienda,shop
la queja,complaint
la ola,wave
el gato,cat
el mapa,map
el empleador,employer
la prueba,proof
la emoción,emotion
la habilidad,skill
la confianza,trust
la sala,hall
el armario,cabinet
el hueso,bone
el alma,soul
el pollo,chicken
la ubicación,location
la indicación,indication
el altavoz,speaker
el salario,wage
la era,era
el jefe,boss
el entrenador,coach
la finca,estate
el sector,sector
el huevo,egg
la estaca,stake
la parada,stop
el anillo,ring
el choque,shock
la contribución,contribution
el anuncio,announcement
el cigarrillo,cigarette
el territorio,territory
el comando,command
la isla,island
la protesta,protest
la impresión de,impression
el fallo,fault
la costa,coast
la lectura,reading
la variedad,variety
los ingresos,revenue
la campana,bell
el café,coffee
el alcohol,alcohol
el almuerzo,lunch
la expectativa,expectation
el grado,grade
la sección,section
el oído,ear
el cielo,sky
la ayuda,assistance
la señal,signal
el estrés,stress
la alternativa,alternative
el investigador,researcher
el cable,cable
la apertura,opening
la playa,beach
el voluntario,volunteer
la carga,burden
el detective,detective
el juguete,toy
la ganancia,gain
el activo,asset
la piscina,pool
la tendencia,trend
la encuesta,survey
el planeta,planet
el río,river
la identidad,identity
el océano,ocean
el retraso,delay
la clínica,clinic
el patio,yard
la punta,tip
el divorcio,divorce
el sol,sun
la fila,row
la frase,phrase
la pena,worth
la colección,collection
la ocasión,occasion
la superficie,surface
el empate,tie
el músico,musician
el concepto,concept
la tensión,tension
el resultado,outcome
el becario,fellow
la belleza,beauty
el siniestro,casualty
la copia,copy
la mina,mine
el reloj,watch
el sueño,sleep
la media,average
el recorrido,travel
el fraude,fraud
la categoría,category
el ejercicio,exercise
la convicción,conviction
la iniciativa,initiative
la técnica de,technique
la grabación,recording
la vista,sight
la reducción,reduction
el conjunto,whole
la corporación,corporation
la pasión,passion
el funeral,funeral
la juventud,youth
el instrumento,instrument
la distancia,distance
el desierto,desert
el aniversario,anniversary
la escritura,writing
el compromiso,compromise
la enfermedad,illness
el desgarro,tear
la puerta,gate
el bosque,forest
el experimento,experiment
el golf,golf
el talento,talent
el cargo,post
la brecha,gap
el sacerdote,priest
la novela,novel
la división,division
el sombrero,hat
la hipoteca,mortgage
la reputación,reputation
la puntuación,score
el hombro,shoulder
la relación,relative
la columna,column
el pago,payment
la transición,transition
el premio,award
la capacidad,capability
la definición,definition
el bolsillo,pocket
la velocidad,speed
el concierto,concert
el clima,climate
la clave,clue
La cerveza,beer
la nariz,nose
el verde,green
el jardín,garden
el satélite,satellite
la ceremonia,ceremony
la humana,human
el descubrimiento,discovery
el paseo,ride
el té,tea
el movimiento,motion
el porcentaje,percentage
la combinación,combination
la explicación,explanation
la escala,scale
la cadena de,chain
el gemelo,twin
la capacidad,capacity
el distribuidor,dealer
el toque,touch
el viaje,journey
el delegado,delegate
el enlace,link
el plástico,plastic
el estímulo,stimulus
la tapa,cap
el rollo,roll
la construcción,construction
la intención,intention
la disputa,dispute
el estado de ánimo,mood
el diseño,design
la infancia,childhood
el motor,engine
el tiempo de vida,lifetime
la pesadilla,nightmare
la danza,dance
la comida,meal
la oferta,offer
la obligación,obligation
el avance,advance
la caridad,charity
el turista,tourist
la fábrica,factory
la grasa,fat
la sal de,salt
el cuello,neck
el dormitorio,bedroom
el episodio,episode
el ingeniero,engineer
el castigo,punishment
las pruebas,testing
la instancia,instance
la perspectiva,prospect
las compras,shopping
el humo,smoke
la carne,meat
la bodega,hold
la jubilación,retirement
la inflación,inflation
